product_id,name,price,rating,reviews_count,brand,brand_top,pack_size,price_per_100g,price_per_g,price_rating,rating_pack,log_reviews,brand_Carte,brand_Jacobs,brand_Lavazza,brand_MacCoffee,brand_NESCAFE,brand_Other,brand_Tchibo
108361175,Кофе Lavazza Crema e Gusto зерновой 1000 г,13303.0,4.9,42.0,Lavazza,Lavazza,1000.0,1330.3000000000002,13.303,65184.700000000004,4900.0,3.7612001156935624,False,False,True,False,False,False,False
108361046,Кофе Gourmet Arabica Brazil Mogiana зерновой 2000 г,21198.0,5.0,190.0,Other,Other,2000.0,1059.9,10.599,105990.0,10000.0,5.25227342804663,False,False,False,False,False,True,False
141427559,Кофе Master Coffee Basic Blend зерновой 1000 г,11990.0,5.0,70.0,Other,Other,1000.0,1199.0,11.99,59950.0,5000.0,4.2626798770413155,False,False,False,False,False,True,False
100236001,Кофе Жокей Классический зерновой в пакете 500 г,7072.0,4.9,20.0,Other,Other,500.0,1414.4,14.144,34652.8,2450.0,3.044522437723423,False,False,False,False,False,True,False
100938514,Кофе Espresso Italiano Original зерновой в пакете 200 г,2499.0,5.0,133.0,Other,Other,200.0,1249.5,12.495,12495.0,1000.0,4.897839799950911,False,False,False,False,False,True,False
102269678,Кофе Jacobs Barista Editions Crema зерновой в пакете 230 г,3691.0,4.6,19.0,Jacobs,Jacobs,230.0,1604.7826086956522,16.047826086956523,16978.6,1058.0,2.995732273553991,False,True,False,False,False,False,False
110146304,Кофе Compass Бразилия бленд зерновой 1000 г,10500.0,4.9,115.0,Other,Other,1000.0,1050.0,10.5,51450.00000000001,4900.0,4.7535901911063645,False,False,False,False,False,True,False
115606264,Кофе Local coffee Бразилия зерновой 1000 г,12000.0,4.9,51.0,Other,Other,1000.0,1200.0,12.0,58800.00000000001,4900.0,3.9512437185814275,False,False,False,False,False,True,False
116618043,Кофе Master Coffee Бразилия Можиана зерновой 250 г,4290.0,4.9,115.0,Other,Other,250.0,1716.0,17.16,21021.0,1225.0,4.7535901911063645,False,False,False,False,False,True,False
102331460,Кофе Lavazza Gusto Pieno зерновой 1000 г,11760.0,4.8,184.0,Lavazza,Lavazza,1000.0,1176.0,11.76,56448.0,4800.0,5.220355825078324,False,False,True,False,False,False,False
101891998,Кофе Lavazza Crema e Aroma Espresso зерновой в пакете 1000 г,15992.0,4.7,147.0,Lavazza,Lavazza,1000.0,1599.2,15.992,75162.40000000001,4700.0,4.997212273764115,False,False,True,False,False,False,False
100219007,Кофе Jardin Cafe Eclair зерновой в пакете 250 г,3465.0,4.5,10.0,Other,Other,250.0,1386.0,13.86,15592.5,1125.0,2.3978952727983707,False,False,False,False,False,True,False
100938360,Кофе Espresso Italiano Classic зерновой 1000 г,11999.0,5.0,126.0,Other,Other,1000.0,1199.9,11.999,59995.0,5000.0,4.844187086458591,False,False,False,False,False,True,False
109734643,Кофе Master Coffee Milano Espresso зерновой 250 г,3690.0,4.9,67.0,Other,Other,250.0,1476.0,14.76,18081.0,1225.0,4.219507705176107,False,False,False,False,False,True,False
100938535,Кофе Espresso Italiano Classic зерновой в пакете 200 г,2499.0,4.9,88.0,Other,Other,200.0,1249.5,12.495,12245.1,980.0000000000001,4.48863636973214,False,False,False,False,False,True,False
101227011,Кофе Lavazza Super Crema зерновой в пакете 1000 г,15500.0,4.9,142.0,Lavazza,Lavazza,1000.0,1550.0,15.5,75950.0,4900.0,4.962844630259907,False,False,True,False,False,False,False
100938384,Кофе Espresso Italiano Belissimo зерновой 1000 г,11999.0,5.0,77.0,Other,Other,1000.0,1199.9,11.999,59995.0,5000.0,4.356708826689592,False,False,False,False,False,True,False
100774248,Кофе Lavazza Caffe Espresso в пакете зерновой 1000 г,16500.0,5.0,41.0,Lavazza,Lavazza,1000.0,1650.0,16.5,82500.0,5000.0,3.7376696182833684,False,False,True,False,False,False,False
100761099,Кофе EGOISTE Noir в пакете зерновой 1000 г,21525.0,4.8,27.0,Other,Other,1000.0,2152.5,21.525,103320.0,4800.0,3.332204510175204,False,False,False,False,False,True,False
100235615,Кофе Жокей Традиционный в Зернах 200 г,3495.0,4.9,15.0,Other,Other,200.0,1747.5000000000002,17.475,17125.5,980.0000000000001,2.772588722239781,False,False,False,False,False,True,False
114134281,Кофе растворимый Jacobs Caramel сублимированный 3 шт,7788.0,5.0,207.0,Jacobs,Jacobs,500.0,1557.6000000000001,15.576,38940.0,2500.0,5.337538079701318,False,True,False,False,False,False,False
139473980,Кофе растворимый Coffeelogia Brazil сублимированный 500 г,8600.0,4.9,57.0,Other,Other,500.0,1720.0,17.2,42140.0,2450.0,4.060443010546419,False,False,False,False,False,True,False
100820202,Кофе Master Coffee Supremo зерновой в пакете 1000 г,15990.0,4.9,126.0,Other,Other,1000.0,1599.0,15.99,78351.0,4900.0,4.844187086458591,False,False,False,False,False,True,False
131476233,Кофе Master Coffee Qazaq Blend зерновой 250 г,4290.0,5.0,58.0,Other,Other,250.0,1716.0,17.16,21450.0,1250.0,4.07753744390572,False,False,False,False,False,True,False
100208012,Кофе растворимый NESCAFE Gold гранулированный 190 г,5990.0,5.0,12.0,NESCAFE,NESCAFE,190.0,3152.6315789473683,31.526315789473685,29950.0,950.0,2.5649493574615367,False,False,False,False,True,False,False
100977495,Кофе растворимый Carte Noire Original сублимированный 150 г,7350.0,4.9,59.0,Carte,Carte,150.0,4900.0,49.0,36015.0,735.0,4.0943445622221,True,False,False,False,False,False,False
