product_id,name,price,rating,reviews_count
101169717,Кофе Caffe Boasi Caffe Boasi Super Crema Caffe зерновой 1000 г,13503.0,4.9,80.0
104574351,Кофе Green Roast 80/20 зерновой в пакете 250 г,3100.0,4.9,97.0
105921876,Кофе Green Roast 80/20 зерновой в пакете 500 г,5900.0,4.9,34.0
102141856,Кофе Master Coffee Колумбия Супремо Антьокия зерновой в пакете 1000 г,15990.0,5.0,47.0
101152293,Кофе Bushido Red Katana зерновой в пакете 1000 г,19416.0,4.6,24.0
102930039,Кофе Guten berg зерновой Ирландские сливки 1 кг,18150.0,4.9,45.0
130582399,Кофе Serikov Coffee Serikov Blend зерновой 200 г,3850.0,4.8,23.0
102719723,Кофе Jardin Americano Crema зерновой в пакете 1000 г,15600.0,4.8,12.0
100208037,Кофе растворимый NESCAFE Classic порошковый 500 г,8640.0,5.0,28.0
109576662,Кофе Gourmet Oro зерновой 2000 г,21998.0,5.0,83.0
145116635,Кофе Delonghi Apple Selection зерновой 250 г,5590.0,4.8,10.0
104496841,Кофе Green Roast Эспресо зерновой 1 кг,11500.0,4.9,32.0
101141240,Кофе Lavazza Tierra зерновой 1000 г,17500.0,4.8,68.0
107970871,"Кофе Carte Noire Original, Crema Delice зерновой 2 упаковки по 230 г",7438.0,4.9,25.0
121225803,Кофе Local coffee Brazil Arabica зерновой 250 г,3600.0,4.8,19.0
139276428,Кофе Serikov Coffee Бразилия Сан Рафаэль зерновой 1000 г,15000.0,4.9,8.0
141881361,Кофе Master Coffee Milk Blend зерновой 250 г,3990.0,4.9,10.0
117513268,Кофе TOREO Crema Intenso зерновой 1000 г,11130.0,5.0,20.0
102533537,Кофе Lavazza Crema Ricca зерновой в пакете 1000 г,13780.0,5.0,25.0
103695296,Кофе Carte Noire Exclusif зерновой арабика 1000 г,14774.0,4.9,17.0
102141872,Кофе Master Coffee Эфиопия Сидамо Гуджи зерновой в пакете 1000 г,15990.0,4.8,52.0
101141592,Кофе Bushido Black Katana зерновой в пакете 1000 г,22010.0,4.8,21.0
102928947,Кофе Guten berg зерновой Ирландские сливки 250 г,5275.0,4.8,21.0
107970837,"Кофе Jacobs Barista Editions Crema, Italiano зерновой 2 упаковки по 800 г",19128.0,4.9,22.0
115672323,Кофе Local coffee Arabica blend зерновой 1000 г,13500.0,5.0,9.0
102161423,Кофе Movenpick Schumli зерновой 1000 г,18175.0,5.0,20.0
139527115,Кофе Serikov Coffee American Blend зерновой 200 г,3800.0,4.9,10.0
128636977,Кофе Master Coffee Эфиопия Сидамо Гуджи зерновой 250 г,4590.0,4.8,26.0
101141438,Кофе Tchibo Barista Caffe Crema зерновой в пакете 1000 г,15800.0,5.0,31.0
100207926,Кофе растворимый Jacobs Monarch сублимированный 400 г,7499.0,5.0,469.0
100238984,Кофе растворимый Jacobs Original 3 в 1 порошковый 12 г,95.0,4.9,28.0
100976420,Кофе растворимый Carte Noire Original сублимированный 95 г,5114.0,4.9,91.0
102151087,Кофе растворимый NESCAFE 3 в 1 саше порошковый 14.5 г,89.0,4.9,20.0
104840733,Кофе растворимый NESCAFE ЗОЛОТАЯ ОБЖАРКА сублимированный 320 г,11038.0,4.9,75.0
147033969,Кофе растворимый Jacobs Dubai Chocolate Style порошковый 19.5 г,179.0,4.6,6.0
102132541,Кофе растворимый Jacobs Cappuccino 3 в 1 порошковый 12.5 г,116.0,4.8,17.0
102017907,Кофе растворимый Jacobs Gold сублимированный 95 г,2099.0,4.9,38.0
100208014,Кофе растворимый NESCAFE Classic Crema порошковый 95 г,1995.0,4.9,58.0
105120652,Кофе растворимый Beta Caffito Original порошковый 25 шт по 20 г,1599.0,4.9,29.0
103434591,Кофе растворимый MacCoffee Latte al caramello порошковый 22 г,125.0,4.8,26.0
129338676,Кофе растворимый NESCAFE Gold Crema порошковый 85 г,2099.0,4.8,27.0
129872121,Кофе Grossa Brazil Toffee зерновой 1000 г,13500.0,4.9,13.0
120275000,Кофе Massimo Coffee Filadelfia Pink Bourbon зерновой 250 г,15500.0,4.9,10.0
109576707,Кофе Gourmet Rosso зерновой 2000 г,21198.0,4.9,197.0
106433650,Кофе Lavazza Qualita Oro зерновой 1000 г,15482.0,4.8,51.0
102009960,Кофе растворимый Jacobs Hazelnut 3 в 1 24 шт порошковый 24 шт 15 г,2798.0,4.9,11.0
131136679,Кофе растворимый Jacobs Cappuccino classic порошковый 20 пакетиков,3476.0,5.0,19.0
146534230,Кофе TOREO Vending Special зерновой 500 г,4900.0,5.0,11.0
140461177,Кофе Serikov Coffee Moscow Blend зерновой 200 г,3700.0,5.0,4.0
106615953,Кофе EGOISTE Cafe Noir зерновой 250 г,5649.0,4.9,18.0
121230232,Кофе Local coffee Local's Blend зерновой 250 г,3300.0,5.0,11.0
100820363,Кофе Kimbo Gold Arabica зерновой в пакете 1000 г,16972.0,4.9,22.0
115672341,Кофе Local coffee Premium blend зерновой 1000 г,13500.0,5.0,10.0
121241995,Кофе Local coffee Brazil Decaf зерновой 250 г,4500.0,5.0,11.0
120375368,Кофе растворимый Maxim Supreme Gold Cofee Mix сублимированный 20 стиков,3850.0,4.9,14.0
103695549,Кофе растворимый Jacobs Monarch 3 в 1 сублимированный 24 шт,2798.0,4.9,36.0
101141478,Кофе Bushido Sensei зерновой в пакете 227 г,5699.0,4.9,38.0
148515610,Кофе растворимый Здоровье Ячменный гранулированный 75 г,990.0,4.4,9.0
101152307,Кофе Bushido Red Katana зерновой в пакете 227 г,4997.0,4.8,16.0
102903915,Кофе Guten berg Баунти зерновой ароматизированный в пакете 250 г,5275.0,5.0,12.0
101169414,Кофе illy Classico зерновой в банке 250 г,8989.0,4.9,21.0
100825428,Кофе Lavazza Gran Crema Espresso зерновой в пакете 1000 г,18700.0,4.9,9.0
129338649,Кофе растворимый NESCAFE Gold Aroma Intenso сублимированный 170 г,4939.0,5.0,5.0
105074549,Кофе растворимый BUSHIDO KODO сублимированный 95 г,6930.0,4.9,28.0
101468902,Кофе Movenpick Caffe Crema зерновой в пакете 500 г,9886.0,4.9,40.0
108061326,Кофе Coffeelogia Бразилия Декаф зерновой 250 г,4850.0,4.6,16.0
140751442,Кофе Gutenberg Черри Бренди зерновой 100 г,1900.0,4.9,11.0
136075631,Кофе Master Coffee Колумбия Супремо Антьокия зерновой 250 г,4590.0,5.0,20.0
144710380,Кофе Serikov Coffee Колумбия Уйла зерновой 200 г,3800.0,4.8,5.0
101146680,Кофе растворимый Jacobs Monarch сублимированный 220 г,5918.0,5.0,22.0
106711905,Кофе растворимый Jacobs Cappuccino порошковый 24 шт по 12.5 г,2323.0,4.8,9.0
116508879,Кофе растворимый Jacobs Cappuccino порошковый 400 г,3116.0,4.9,16.0
103140592,Кофе Guten berg Крем Карамель ароматизированный зерновой арабика 250 г,5275.0,4.9,6.0
129879101,Кофе Grossa Miranda зерновой 1000 г,10600.0,4.9,10.0
128812277,Кофе Movenpick Der Himmlische зерновой 500 г,8800.0,5.0,7.0
134074333,Кофе Massimo Coffee Isidro El Greco зерновой 250 г,9750.0,4.9,5.0
